src_ip,flow_count,distinct_dst_ports,distinct_dst_ips,total_bytes,mean_bytes,mean_duration_ms,rst_count,rst_ratio,sensitive_port_hits,ml_anomaly_score,ml_flag,rule_port_scan,rule_sensitive_port,rule_high_rst,severity
10.0.0.25,22,5,16,40957546,1861706.6363636365,1886.3181818181818,0,0.0,0,0.7314807226688259,True,False,False,False,Medium
10.0.0.17,54,48,11,69705,1290.8333333333333,154.61111111111111,0,0.0,0,0.6914178348309207,True,True,False,False,Critical
10.0.0.19,43,5,17,109196,2539.4418604651164,496.7906976744186,25,0.5813953488372093,0,0.6392936301631715,True,False,False,True,High
198.51.100.77,3,3,1,654,218.0,38.666666666666664,0,0.0,3,0.6341106418872021,True,False,True,False,High
10.0.0.15,7,3,7,52885,7555.0,1372.142857142857,0,0.0,0,0.4877520648840856,False,False,False,False,Low
10.0.0.31,34,5,15,117913,3468.029411764706,515.2058823529412,0,0.0,0,0.4740184943362592,False,False,False,False,Low
10.0.0.13,8,4,7,79403,9925.375,1210.5,0,0.0,0,0.43891413821404135,False,False,False,False,Low
10.0.0.27,12,4,12,149096,12424.666666666666,930.25,0,0.0,0,0.4302465173178237,False,False,False,False,Low
10.0.0.22,18,5,18,176182,9787.888888888889,1154.1666666666667,0,0.0,0,0.42499710942990687,False,False,False,False,Low
10.0.0.37,19,5,19,146585,7715.0,1197.3684210526317,0,0.0,0,0.4107975954927408,False,False,False,False,Low
10.0.0.11,11,3,11,95949,8722.636363636364,851.6363636363636,0,0.0,0,0.4077821578034653,False,False,False,False,Low
10.0.0.23,21,5,17,152706,7271.714285714285,1066.952380952381,0,0.0,0,0.39741376866857125,False,False,False,False,Low
10.0.0.10,12,4,11,69562,5796.833333333333,1297.9166666666667,0,0.0,0,0.3969575014533028,False,False,False,False,Low
10.0.0.28,10,5,10,62869,6286.9,1205.6,0,0.0,0,0.38711548963105735,False,False,False,False,Low
10.0.0.30,20,5,18,129132,6456.6,976.9,0,0.0,0,0.38182434048402847,False,False,False,False,Low
10.0.0.14,13,4,13,124431,9571.615384615385,1006.9230769230769,0,0.0,0,0.38080475389387763,False,False,False,False,Low
10.0.0.38,11,4,10,73720,6701.818181818182,714.7272727272727,0,0.0,0,0.3803401555091973,False,False,False,False,Low
10.0.0.35,14,5,12,70603,5043.071428571428,978.6428571428571,0,0.0,0,0.3786986708064718,False,False,False,False,Low
10.0.0.36,14,4,13,110229,7873.5,650.3571428571429,0,0.0,0,0.37803633609980997,False,False,False,False,Low
10.0.0.24,17,4,13,115555,6797.35294117647,1092.8235294117646,0,0.0,0,0.37641771433940613,False,False,False,False,Low
10.0.0.20,10,5,10,85587,8558.7,1125.3,0,0.0,0,0.3762776194998109,False,False,False,False,Low
10.0.0.18,11,5,9,70581,6416.454545454545,999.5454545454545,0,0.0,0,0.37339828324493357,False,False,False,False,Low
10.0.0.16,17,4,14,120791,7105.35294117647,836.1764705882352,0,0.0,0,0.3726083974245037,False,False,False,False,Low
10.0.0.21,17,5,17,127857,7521.0,1068.0588235294117,0,0.0,0,0.36822334997982575,False,False,False,False,Low
10.0.0.26,13,5,13,103964,7997.2307692307695,653.5384615384615,0,0.0,0,0.367400098242863,False,False,False,False,Low
10.0.0.34,12,4,10,82298,6858.166666666667,938.9166666666666,0,0.0,0,0.366733411217115,False,False,False,False,Low
10.0.0.39,11,5,10,76979,6998.090909090909,1117.5454545454545,0,0.0,0,0.3654982108400674,False,False,False,False,Low
10.0.0.29,18,5,16,125947,6997.055555555556,1006.4444444444445,0,0.0,0,0.36388179477225274,False,False,False,False,Low
10.0.0.12,18,5,17,127047,7058.166666666667,985.2777777777778,0,0.0,0,0.3627584650523248,False,False,False,False,Low
10.0.0.32,15,5,15,114453,7630.2,853.3333333333334,0,0.0,0,0.36107497466678895,False,False,False,False,Low
10.0.0.33,13,5,13,89832,6910.153846153846,885.0,0,0.0,0,0.35769037991052305,False,False,False,False,Low
