timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,duration_ms,flag
2026-08-24 09:00:00.590706,10.0.0.30,203.0.113.15,49622,80,TCP,4706,9,511,SYN-ACK
2026-08-24 09:00:00.874138,10.0.0.13,198.51.100.28,6721,25,TCP,9874,19,874,SYN-ACK
2026-08-24 09:00:03.078993,10.0.0.16,203.0.113.30,40477,25,TCP,634,1,1159,SYN-ACK
2026-08-24 09:00:05.545398,10.0.0.32,198.51.100.11,15470,22,TCP,7559,15,1216,ACK
2026-08-24 09:00:06.180741,10.0.0.10,198.51.100.39,46777,443,TCP,7124,14,706,ACK
2026-08-24 09:00:08.753725,10.0.0.34,203.0.113.44,7102,80,TCP,6424,12,208,ACK
2026-08-24 09:00:11.678449,10.0.0.29,203.0.113.34,48847,80,TCP,7727,15,1108,SYN-ACK
2026-08-24 09:00:14.357714,10.0.0.22,203.0.113.11,20237,25,TCP,13788,27,1297,FIN
2026-08-24 09:00:15.195829,10.0.0.21,198.51.100.15,47198,443,TCP,1339,2,103,FIN
2026-08-24 09:00:16.665378,10.0.0.19,203.0.113.11,57809,443,TCP,1854,3,788,ACK
2026-08-24 09:00:17.612916,10.0.0.36,203.0.113.47,25284,443,TCP,6020,12,439,FIN
2026-08-24 09:00:19.854471,10.0.0.39,198.51.100.29,40944,80,TCP,10603,21,360,FIN
2026-08-24 09:00:20.669393,10.0.0.15,198.51.100.1,18715,22,TCP,10685,21,1419,FIN
2026-08-24 09:00:21.992654,10.0.0.20,203.0.113.8,54881,443,TCP,725,1,1658,ACK
2026-08-24 09:00:24.027882,10.0.0.12,203.0.113.28,58457,25,TCP,11962,23,654,SYN-ACK
2026-08-24 09:00:26.313851,10.0.0.22,198.51.100.24,10387,22,TCP,4539,9,295,SYN-ACK
2026-08-24 09:00:27.527441,10.0.0.27,203.0.113.34,29101,25,TCP,14909,29,1205,ACK
2026-08-24 09:00:28.155397,10.0.0.14,198.51.100.7,6981,22,TCP,12582,25,106,SYN-ACK
2026-08-24 09:00:30.023885,10.0.0.15,198.51.100.29,40110,22,TCP,1240,2,798,ACK
2026-08-24 09:00:32.128679,10.0.0.24,198.51.100.9,64664,53,UDP,9264,18,1772,SYN-ACK
2026-08-24 09:00:33.281170,10.0.0.13,198.51.100.29,50233,25,TCP,4571,9,1584,FIN
2026-08-24 09:00:35.933558,10.0.0.19,203.0.113.56,30759,443,TCP,253,1,1963,FIN
2026-08-24 09:00:36.969203,10.0.0.18,198.51.100.6,34295,443,TCP,1943,3,1792,FIN
2026-08-24 09:00:38.679464,10.0.0.30,198.51.100.6,14059,25,TCP,2704,5,775,SYN-ACK
2026-08-24 09:00:39.192694,10.0.0.34,198.51.100.9,40276,80,TCP,5510,11,1010,SYN-ACK
2026-08-24 09:00:42.044152,10.0.0.21,203.0.113.40,4820,443,TCP,4146,8,1808,FIN
2026-08-24 09:00:44.388488,10.0.0.12,198.51.100.35,54502,22,TCP,1333,2,1567,FIN
2026-08-24 09:00:46.065975,10.0.0.14,198.51.100.26,63076,22,TCP,9207,18,348,ACK
2026-08-24 09:00:48.197604,10.0.0.29,203.0.113.55,61901,443,TCP,9035,18,1556,FIN
2026-08-24 09:00:50.916523,10.0.0.32,203.0.113.40,45043,22,TCP,10847,21,774,ACK
2026-08-24 09:00:52.763787,10.0.0.24,203.0.113.16,15749,443,TCP,1249,2,702,SYN-ACK
2026-08-24 09:00:53.128634,10.0.0.17,198.51.100.17,1495,443,TCP,1363,2,1459,FIN
